ts,rpm,coolant_c,oil_c,iat_c,ign_deg_kw,maf_kgph,vbatt_v,load_pct,thr_raw,thr2_raw,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31
1768683062.187,1198,89.3,102.1,31.4,14.7,36.0,12.6,39.4,28,26,0,0,0,4,174,0,28,26,1,103,0,183,188,0,152,0,0,0,0,100,0,0,105,126,0,0,0,0,0,0,0,0
1768683062.287,1219,89.4,102.3,31.6,14.8,36.4,12.6,39.6,29,27,0,0,0,4,195,0,29,27,1,107,0,183,188,0,152,0,0,0,0,101,0,0,106,126,0,0,0,0,0,0,0,0
1768683062.387,1238,89.6,102.5,31.7,14.9,36.8,12.6,39.9,30,28,0,0,0,4,214,0,30,28,1,111,0,183,189,0,152,0,0,0,0,101,0,0,106,126,0,0,0,0,0,0,0,0
1768683062.487,1253,89.7,102.7,31.8,15.0,37.1,12.6,40.0,31,29,0,0,0,4,229,0,31,29,1,114,0,183,189,0,152,0,0,0,0,102,0,0,106,126,0,0,0,0,0,0,0,0
1768683062.587,1266,89.8,102.9,31.9,15.0,37.3,12.6,40.2,32,30,0,0,0,4,242,0,32,30,1,117,0,183,189,0,152,0,0,0,0,102,0,0,106,126,0,0,0,0,0,0,0,0
1768683062.687,1276,89.9,103.1,32.0,15.0,37.5,12.6,40.3,33,31,0,0,0,4,252,0,33,31,1,119,0,183,189,0,152,0,0,0,0,102,0,0,106,126,0,0,0,0,0,0,0,0
1768683062.787,1283,90.0,103.2,32.2,14.9,37.7,12.6,40.4,34,32,0,0,0,5,3,0,34,32,1,120,0,184,189,0,152,0,0,0,0,103,0,0,106,125,0,0,0,0,0,0,0,0
1768683062.887,1288,90.1,103.4,32.3,14.8,37.8,12.6,40.5,35,33,0,0,0,5,8,0,35,33,1,121,0,184,190,0,152,0,0,0,0,103,0,0,107,125,0,0,0,0,0,0,0,0
1768683062.987,1290,90.3,103.6,32.3,14.7,37.8,12.6,40.5,36,34,0,0,0,5,10,0,36,34,1,122,0,184,190,0,152,0,0,0,0,103,0,0,107,125,0,0,0,0,0,0,0,0
1768683063.087,1292,90.4,103.8,32.4,14.6,37.8,12.6,40.5,37,35,0,0,0,5,12,0,37,35,1,122,0,184,190,0,153,0,0,0,0,103,0,0,107,125,0,0,0,0,0,0,0,0
1768683063.187,1292,90.5,103.9,32.5,14.4,37.8,12.6,40.5,38,36,0,0,0,5,12,0,38,36,1,122,0,184,190,0,153,0,0,0,0,103,0,0,107,125,0,0,0,0,0,0,0,0
1768683063.287,1291,90.6,104.1,32.6,14.2,37.8,12.6,40.5,39,37,0,0,0,5,11,0,39,37,1,122,0,184,191,0,154,0,0,0,0,103,0,0,107,125,0,0,0,0,0,0,0,0
1768683063.387,1289,90.7,104.2,32.7,13.9,37.8,12.6,40.5,40,38,0,0,0,5,9,0,40,38,1,121,0,184,191,0,154,0,0,0,0,103,0,0,107,125,0,0,0,0,0,0,0,0
1768683063.487,1288,90.8,104.4,32.7,13.7,37.8,12.6,40.5,41,39,0,0,0,5,8,0,41,39,1,121,0,185,191,0,155,0,0,0,0,103,0,0,107,125,0,0,0,0,0,0,0,0
1768683063.587,1287,90.9,104.5,32.8,13.4,37.7,12.6,40.4,42,40,0,0,0,5,7,0,42,40,1,121,0,185,191,0,156,0,0,0,0,103,0,0,107,125,0,0,0,0,0,0,0,0
1768683063.687,1287,91.0,104.7,32.8,13.1,37.7,12.6,40.4,43,41,0,0,0,5,7,0,43,41,1,121,0,185,191,0,157,0,0,0,0,103,0,0,107,125,0,0,0,0,0,0,0,0
1768683063.787,1288,91.0,104.8,32.9,12.8,37.8,12.6,40.5,44,42,0,0,0,5,8,0,44,42,1,121,0,185,191,0,157,0,0,0,0,103,0,0,107,125,0,0,0,0,0,0,0,0
1768683063.887,1291,91.1,104.9,32.9,12.4,37.8,12.6,40.5,45,43,0,0,0,5,11,0,45,43,1,122,0,185,192,0,158,0,0,0,0,103,0,0,107,125,0,0,0,0,0,0,0,0
1768683063.987,1296,91.2,105.0,33.0,12.1,37.9,12.6,40.6,46,44,0,0,0,5,16,0,46,44,1,123,0,185,192,0,159,0,0,0,0,103,0,0,107,125,0,0,0,0,0,0,0,0
1768683064.087,1303,91.3,105.2,33.0,11.8,38.1,12.6,40.6,47,45,0,0,0,5,23,0,47,45,1,124,0,185,192,0,160,0,0,0,0,103,0,0,107,125,0,0,0,0,0,0,0,0
1768683064.187,1313,91.4,105.3,33.0,11.4,38.3,12.6,40.8,48,46,0,0,0,5,33,0,48,46,1,126,0,185,192,0,161,0,0,0,0,103,0,0,107,125,0,0,0,0,0,0,0,0
1768683064.287,1326,91.4,105.4,33.0,11.1,38.5,12.6,40.9,49,47,0,0,0,5,46,0,49,47,1,129,0,185,192,0,162,0,0,0,0,104,0,0,107,125,0,0,0,0,0,0,0,0
1768683064.387,1341,91.5,105.5,33.0,10.8,38.8,12.6,41.1,50,48,0,0,0,5,61,0,50,48,1,132,0,186,192,0,163,0,0,0,0,104,0,0,107,126,0,0,0,0,0,0,0,0
1768683064.487,1360,91.6,105.5,33.0,10.5,39.2,12.6,41.3,51,49,0,0,0,5,80,0,51,49,1,136,0,186,192,0,164,0,0,0,0,105,0,0,107,126,0,0,0,0,0,0,0,0
1768683064.587,1381,91.6,105.6,33.0,10.2,39.6,12.6,41.6,52,50,0,0,0,5,101,0,52,50,1,140,0,186,192,0,164,0,0,0,0,106,0,0,107,126,0,0,0,0,0,0,0,0
1768683064.687,1406,91.7,105.7,33.0,10.0,40.1,12.6,41.9,53,51,0,0,0,5,126,0,53,51,1,145,0,186,193,0,165,0,0,0,0,106,0,0,107,126,0,0,0,0,0,0,0,0
1768683064.787,1433,91.7,105.8,32.9,9.7,40.7,12.6,42.2,54,52,0,0,0,5,153,0,54,52,1,150,0,186,193,0,166,0,0,0,0,107,0,0,107,126,0,0,0,0,0,0,0,0
1768683064.887,1463,91.8,105.8,32.9,9.5,41.3,12.6,42.6,55,53,0,0,0,5,183,0,55,53,1,156,0,186,193,0,166,0,0,0,0,108,0,0,107,126,0,0,0,0,0,0,0,0
1768683064.987,1496,91.8,105.9,32.8,9.4,41.9,12.6,43.0,56,54,0,0,0,5,216,0,56,54,1,163,0,186,193,0,167,0,0,0,0,109,0,0,107,126,0,0,0,0,0,0,0,0
1768683065.087,1532,91.9,105.9,32.8,9.2,42.6,12.6,43.4,57,55,0,0,0,5,252,0,57,55,1,170,0,186,193,0,167,0,0,0,0,110,0,0,107,126,0,0,0,0,0,0,0,0
1768683065.187,1569,91.9,105.9,32.7,9.1,43.4,11.2,43.8,58,56,0,0,0,6,33,0,58,56,1,177,0,186,193,0,167,0,0,0,0,111,0,0,107,112,0,0,0,0,0,0,0,0
1768683065.287,1608,91.9,106.0,32.7,9.0,44.2,11.2,44.3,59,57,0,0,0,6,72,0,59,57,1,185,0,186,193,0,167,0,0,0,0,112,0,0,107,112,0,0,0,0,0,0,0,0
1768683065.387,1648,91.9,106.0,32.6,9.0,45.0,11.2,44.8,60,58,0,0,0,6,112,0,60,58,1,193,0,186,193,0,167,0,0,0,0,114,0,0,107,112,0,0,0,0,0,0,0,0
1768683065.487,1689,92.0,106.0,32.5,9.0,45.8,11.2,45.3,61,59,0,0,0,6,153,0,61,59,1,201,0,186,193,0,167,0,0,0,0,115,0,0,107,112,0,0,0,0,0,0,0,0
1768683065.587,1730,92.0,106.0,32.4,9.0,46.6,11.2,45.8,62,60,0,0,0,6,194,0,62,60,1,210,0,186,193,0,167,0,0,0,0,116,0,0,107,112,0,0,0,0,0,0,0,0
1768683065.687,1771,92.0,106.0,32.3,9.1,47.4,11.2,46.3,63,61,0,0,0,6,235,0,63,61,1,218,0,186,193,0,167,0,0,0,0,117,0,0,107,111,0,0,0,0,0,0,0,0
1768683065.787,1812,92.0,106.0,32.2,9.2,48.2,11.2,46.7,64,62,0,0,0,7,20,0,64,62,1,226,0,186,193,0,167,0,0,0,0,119,0,0,106,111,0,0,0,0,0,0,0,0
1768683065.887,1852,92.0,106.0,32.1,9.4,49.0,11.1,47.2,65,63,0,0,0,7,60,0,65,63,1,234,0,186,193,0,166,0,0,0,0,120,0,0,106,111,0,0,0,0,0,0,0,0
1768683065.987,1891,92.0,105.9,32.0,9.6,49.8,11.1,47.7,66,64,0,0,0,7,99,0,66,64,1,242,0,186,193,0,166,0,0,0,0,121,0,0,106,110,0,0,0,0,0,0,0,0
1768683066.087,1928,92.0,105.9,31.9,9.8,50.6,11.0,48.1,67,65,0,0,0,7,136,0,67,65,1,249,0,186,193,0,165,0,0,0,0,122,0,0,106,110,0,0,0,0,0,0,0,0
1768683066.187,1963,92.0,105.9,31.8,10.0,51.3,11.0,48.6,18,16,0,0,0,7,171,0,18,16,2,0,0,186,193,0,165,0,0,0,0,123,0,0,106,109,0,0,0,0,0,0,0,0
1768683066.287,1996,92.0,105.8,31.7,10.3,51.9,11.0,49.0,19,17,0,0,0,7,204,0,19,17,2,7,0,186,193,0,164,0,0,0,0,124,0,0,106,109,0,0,0,0,0,0,0,0
1768683066.387,2026,91.9,105.8,31.5,10.5,52.5,11.0,49.3,20,18,0,0,0,7,234,0,20,18,2,13,0,186,193,0,163,0,0,0,0,125,0,0,106,109,0,0,0,0,0,0,0,0
1768683066.487,2054,91.9,105.7,31.4,10.8,53.1,11.0,49.6,21,19,0,0,0,8,6,0,21,19,2,18,0,186,193,0,163,0,0,0,0,126,0,0,105,109,0,0,0,0,0,0,0,0
1768683066.587,2078,91.9,105.6,31.3,11.2,53.6,11.0,49.9,22,20,0,0,0,8,30,0,22,20,2,23,0,186,192,0,162,0,0,0,0,127,0,0,105,109,0,0,0,0,0,0,0,0
1768683066.687,2099,91.9,105.5,31.1,11.5,54.0,11.0,50.2,23,21,0,0,0,8,51,0,23,21,2,27,0,186,192,0,161,0,0,0,0,127,0,0,105,110,0,0,0,0,0,0,0,0
1768683066.787,2118,91.8,105.5,31.0,11.8,54.4,11.1,50.4,24,22,0,0,0,8,70,0,24,22,2,31,0,186,192,0,160,0,0,0,0,128,0,0,105,110,0,0,0,0,0,0,0,0
1768683066.887,2133,91.8,105.4,30.9,12.2,54.7,11.1,50.6,25,23,0,0,0,8,85,0,25,23,2,34,0,186,192,0,159,0,0,0,0,129,0,0,105,111,0,0,0,0,0,0,0,0
1768683066.987,2146,91.7,105.3,30.7,12.5,54.9,11.2,50.8,26,24,0,0,0,8,98,0,26,24,2,37,0,186,192,0,158,0,0,0,0,129,0,0,104,111,0,0,0,0,0,0,0,0
1768683067.087,2155,91.7,105.2,30.6,12.8,55.1,11.2,50.9,27,25,0,0,0,8,107,0,27,25,2,39,0,186,192,0,157,0,0,0,0,129,0,0,104,112,0,0,0,0,0,0,0,0
1768683067.187,2163,91.6,105.0,30.4,13.1,55.3,11.2,51.0,28,26,0,0,0,8,115,0,28,26,2,40,0,186,192,0,157,0,0,0,0,129,0,0,104,112,0,0,0,0,0,0,0,0
1768683067.287,2167,91.6,104.9,30.3,13.4,55.3,11.2,51.0,29,27,0,0,0,8,119,0,29,27,2,41,0,186,192,0,156,0,0,0,0,130,0,0,104,112,0,0,0,0,0,0,0,0
1768683067.387,2170,91.5,104.8,30.1,13.7,55.4,11.2,51.0,30,28,0,0,0,8,122,0,30,28,2,42,0,186,191,0,155,0,0,0,0,130,0,0,104,112,0,0,0,0,0,0,0,0
1768683067.487,2171,91.5,104.7,30.0,14.0,55.4,11.2,51.1,31,29,0,0,0,8,123,0,31,29,2,42,0,185,191,0,154,0,0,0,0,130,0,0,103,112,0,0,0,0,0,0,0,0
1768683067.587,2171,91.4,104.5,29.8,14.2,55.4,11.2,51.1,32,30,0,0,0,8,123,0,32,30,2,42,0,185,191,0,154,0,0,0,0,130,0,0,103,111,0,0,0,0,0,0,0,0
1768683067.687,2170,91.3,104.4,29.7,14.4,55.4,11.1,51.0,33,31,0,0,0,8,122,0,33,31,2,42,0,185,191,0,153,0,0,0,0,130,0,0,103,111,0,0,0,0,0,0,0,0
1768683067.787,2169,91.2,104.2,29.5,14.6,55.4,11.1,51.0,34,32,0,0,0,8,121,0,34,32,2,41,0,185,191,0,153,0,0,0,0,130,0,0,103,110,0,0,0,0,0,0,0,0
1768683067.887,2168,91.2,104.1,29.4,14.8,55.4,11.0,51.0,35,33,0,0,0,8,120,0,35,33,2,41,0,185,191,0,152,0,0,0,0,130,0,0,103,110,0,0,0,0,0,0,0,0
1768683067.987,2167,91.1,103.9,29.2,14.9,55.3,11.0,51.0,36,34,0,0,0,8,119,0,36,34,2,41,0,185,190,0,152,0,0,0,0,130,0,0,102,110,0,0,0,0,0,0,0,0
1768683068.087,2167,91.0,103.8,29.1,14.9,55.3,11.0,51.0,37,35,0,0,0,8,119,0,37,35,2,41,0,185,190,0,152,0,0,0,0,130,0,0,102,109,0,0,0,0,0,0,0,0
1768683068.187,2168,90.9,103.6,28.9,15.0,55.4,11.0,51.0,38,36,0,0,0,8,120,0,38,36,2,41,0,185,190,0,152,0,0,0,0,130,0,0,102,109,0,0,0,0,0,0,0,0
1768683068.287,2171,90.8,103.4,28.8,15.0,55.4,11.0,51.1,39,37,0,0,0,8,123,0,39,37,2,42,0,185,190,0,152,0,0,0,0,130,0,0,102,109,0,0,0,0,0,0,0,0
1768683068.387,2176,90.7,103.2,28.7,15.0,55.5,11.0,51.1,40,38,0,0,0,8,128,0,40,38,2,43,0,184,189,0,152,0,0,0,0,130,0,0,102,109,0,0,0,0,0,0,0,0
1768683068.487,2183,90.6,103.1,28.5,14.9,55.7,11.0,51.2,41,39,0,0,0,8,135,0,41,39,2,44,0,184,189,0,152,0,0,0,0,130,0,0,102,109,0,0,0,0,0,0,0,0
1768683068.587,2193,90.5,102.9,28.4,14.8,55.9,11.0,51.3,42,40,0,0,0,8,145,0,42,40,2,46,0,184,189,0,152,0,0,0,0,130,0,0,101,110,0,0,0,0,0,0,0,0
1768683068.687,2205,90.4,102.7,28.3,14.7,56.1,11.1,51.5,43,41,0,0,0,8,157,0,43,41,2,49,0,184,189,0,152,0,0,0,0,131,0,0,101,110,0,0,0,0,0,0,0,0
1768683068.787,2221,90.3,102.5,28.2,14.5,56.4,11.1,51.7,44,42,0,0,0,8,173,0,44,42,2,52,0,184,189,0,153,0,0,0,0,131,0,0,101,111,0,0,0,0,0,0,0,0
1768683068.887,2240,90.2,102.3,28.0,14.3,56.8,11.2,51.9,45,43,0,0,0,8,192,0,45,43,2,56,0,184,188,0,153,0,0,0,0,132,0,0,101,111,0,0,0,0,0,0,0,0
1768683068.987,2261,90.1,102.1,27.9,14.1,57.2,11.2,52.1,46,44,0,0,0,8,213,0,46,44,2,60,0,184,188,0,154,0,0,0,0,132,0,0,101,112,0,0,0,0,0,0,0,0
1768683069.087,2286,89.9,101.9,27.8,13.8,57.7,11.2,52.4,47,45,0,0,0,8,238,0,47,45,2,65,0,183,188,0,155,0,0,0,0,133,0,0,101,112,0,0,0,0,0,0,0,0
1768683069.187,2313,89.8,101.7,27.7,13.5,58.3,11.2,52.8,48,46,0,0,0,9,9,0,48,46,2,70,0,183,188,0,155,0,0,0,0,134,0,0,100,112,0,0,0,0,0,0,0,0
1768683069.287,2344,89.7,101.5,27.6,13.2,58.9,12.6,53.1,49,47,0,0,0,9,40,0,49,47,2,76,0,183,187,0,156,0,0,0,0,135,0,0,100,125,0,0,0,0,0,0,0,0
1768683069.387,2377,89.6,101.3,27.5,12.9,59.5,12.6,53.5,50,48,0,0,0,9,73,0,50,48,2,83,0,183,187,0,157,0,0,0,0,136,0,0,100,125,0,0,0,0,0,0,0,0
1768683069.487,2412,89.5,101.1,27.5,12.6,60.2,12.6,53.9,51,49,0,0,0,9,108,0,51,49,2,90,0,183,187,0,158,0,0,0,0,137,0,0,100,125,0,0,0,0,0,0,0,0
1768683069.587,2449,89.3,100.8,27.4,12.3,61.0,12.6,54.4,52,50,0,0,0,9,145,0,52,50,2,97,0,183,186,0,159,0,0,0,0,138,0,0,100,125,0,0,0,0,0,0,0,0
1768683069.687,2488,89.2,100.6,27.3,11.9,61.8,12.6,54.9,53,51,0,0,0,9,184,0,53,51,2,105,0,182,186,0,160,0,0,0,0,139,0,0,100,125,0,0,0,0,0,0,0,0
1768683069.787,2528,89.1,100.4,27.3,11.6,62.6,12.6,55.3,54,52,0,0,0,9,224,0,54,52,2,113,0,182,186,0,161,0,0,0,0,141,0,0,100,125,0,0,0,0,0,0,0,0
1768683069.887,2569,89.0,100.2,27.2,11.3,63.4,12.6,55.8,55,53,0,0,0,10,9,0,55,53,2,121,0,182,186,0,161,0,0,0,0,142,0,0,100,125,0,0,0,0,0,0,0,0
1768683069.987,2610,88.8,100.0,27.1,11.0,64.2,12.6,56.3,56,54,0,0,0,10,50,0,56,54,2,130,0,182,185,0,162,0,0,0,0,143,0,0,100,125,0,0,0,0,0,0,0,0
1768683070.087,2652,88.7,99.8,27.1,10.7,65.0,12.6,56.8,57,55,0,0,0,10,92,0,57,55,2,138,0,182,185,0,163,0,0,0,0,144,0,0,100,125,0,0,0,0,0,0,0,0
1768683070.187,2693,88.6,99.6,27.1,10.4,65.9,12.6,57.3,58,56,0,0,0,10,133,0,58,56,2,146,0,182,185,0,164,0,0,0,0,146,0,0,100,125,0,0,0,0,0,0,0,0
1768683070.287,2733,88.4,99.4,27.0,10.1,66.7,12.6,57.8,59,57,0,0,0,10,173,0,59,57,2,154,0,181,185,0,165,0,0,0,0,147,0,0,100,125,0,0,0,0,0,0,0,0
1768683070.387,2771,88.3,99.1,27.0,9.9,67.4,12.6,58.3,60,58,0,0,0,10,211,0,60,58,2,162,0,181,184,0,165,0,0,0,0,148,0,0,100,125,0,0,0,0,0,0,0,0
1768683070.487,2808,88.2,98.9,27.0,9.6,68.2,12.6,58.7,61,59,0,0,0,10,248,0,61,59,2,169,0,181,184,0,166,0,0,0,0,149,0,0,100,125,0,0,0,0,0,0,0,0
1768683070.587,2843,88.0,98.7,27.0,9.4,68.9,12.6,59.1,62,60,0,0,0,11,27,0,62,60,2,176,0,181,184,0,166,0,0,0,0,150,0,0,100,125,0,0,0,0,0,0,0,0
1768683070.687,2876,87.9,98.5,27.0,9.3,69.5,12.6,59.5,63,61,0,0,0,11,60,0,63,61,2,183,0,181,184,0,167,0,0,0,0,151,0,0,100,126,0,0,0,0,0,0,0,0
1768683070.787,2906,87.8,98.3,27.0,9.2,70.1,12.6,59.9,64,62,0,0,0,11,90,0,64,62,2,189,0,181,183,0,167,0,0,0,0,152,0,0,100,126,0,0,0,0,0,0,0,0
1768683070.887,2934,87.6,98.1,27.0,9.1,70.7,12.6,60.2,65,63,0,0,0,11,118,0,65,63,2,194,0,180,183,0,167,0,0,0,0,153,0,0,100,126,0,0,0,0,0,0,0,0
1768683070.987,2958,87.5,97.9,27.1,9.0,71.2,12.6,60.5,66,64,0,0,0,11,142,0,66,64,2,199,0,180,183,0,167,0,0,0,0,154,0,0,100,126,0,0,0,0,0,0,0,0
1768683071.087,2979,87.4,97.7,27.1,9.0,71.6,12.6,60.7,67,65,0,0,0,11,163,0,67,65,2,203,0,180,183,0,167,0,0,0,0,154,0,0,100,126,0,0,0,0,0,0,0,0
1768683071.187,2998,87.2,97.5,27.1,9.0,72.0,12.6,61.0,18,16,0,0,0,11,182,0,18,16,2,207,0,180,182,0,167,0,0,0,0,155,0,0,100,126,0,0,0,0,0,0,0,0
1768683071.287,3013,87.1,97.3,27.2,9.1,72.3,12.6,61.2,19,17,0,0,0,11,197,0,19,17,2,210,0,180,182,0,167,0,0,0,0,155,0,0,100,126,0,0,0,0,0,0,0,0
1768683071.387,3026,87.0,97.1,27.2,9.2,72.5,12.6,61.3,20,18,0,0,0,11,210,0,20,18,2,213,0,179,182,0,167,0,0,0,0,156,0,0,100,126,0,0,0,0,0,0,0,0
1768683071.487,3035,86.8,96.9,27.3,9.3,72.7,12.6,61.4,21,19,0,0,0,11,219,0,21,19,2,215,0,179,182,0,167,0,0,0,0,156,0,0,100,126,0,0,0,0,0,0,0,0
1768683071.587,3042,86.7,96.7,27.3,9.5,72.8,12.6,61.5,22,20,0,0,0,11,226,0,22,20,2,216,0,179,181,0,166,0,0,0,0,156,0,0,100,126,0,0,0,0,0,0,0,0
1768683071.687,3047,86.6,96.6,27.4,9.7,72.9,12.6,61.6,23,21,0,0,0,11,231,0,23,21,2,217,0,179,181,0,166,0,0,0,0,156,0,0,100,126,0,0,0,0,0,0,0,0
1768683071.787,3050,86.5,96.4,27.5,9.9,73.0,12.6,61.6,24,22,0,0,0,11,234,0,24,22,2,218,0,179,181,0,165,0,0,0,0,157,0,0,100,126,0,0,0,0,0,0,0,0
1768683071.887,3051,86.4,96.2,27.6,10.1,73.0,12.6,61.6,25,23,0,0,0,11,235,0,25,23,2,218,0,179,181,0,165,0,0,0,0,157,0,0,100,126,0,0,0,0,0,0,0,0
1768683071.987,3051,86.2,96.1,27.7,10.4,73.0,12.6,61.6,26,24,0,0,0,11,235,0,26,24,2,218,0,178,180,0,164,0,0,0,0,157,0,0,100,126,0,0,0,0,0,0,0,0
1768683072.087,3050,86.1,95.9,27.8,10.7,73.0,12.6,61.6,27,25,0,0,0,11,234,0,27,25,2,218,0,178,180,0,163,0,0,0,0,157,0,0,101,126,0,0,0,0,0,0,0,0
1768683072.187,3049,86.0,95.8,27.9,11.0,73.0,12.6,61.6,28,26,0,0,0,11,233,0,28,26,2,217,0,178,180,0,162,0,0,0,0,157,0,0,101,125,0,0,0,0,0,0,0,0
1768683072.287,3047,85.9,95.6,28.0,11.3,72.9,12.6,61.6,29,27,0,0,0,11,231,0,29,27,2,217,0,178,180,0,161,0,0,0,0,156,0,0,101,125,0,0,0,0,0,0,0,0
1768683072.387,3046,85.8,95.5,28.1,11.6,72.9,12.6,61.6,30,28,0,0,0,11,230,0,30,28,2,217,0,178,180,0,160,0,0,0,0,156,0,0,101,125,0,0,0,0,0,0,0,0
1768683072.487,3046,85.7,95.3,28.2,12.0,72.9,12.6,61.6,31,29,0,0,0,11,230,0,31,29,2,217,0,178,180,0,160,0,0,0,0,156,0,0,101,125,0,0,0,0,0,0,0,0
1768683072.587,3048,85.6,95.2,28.3,12.3,73.0,12.6,61.6,32,30,0,0,0,11,232,0,32,30,2,217,0,178,179,0,159,0,0,0,0,157,0,0,101,125,0,0,0,0,0,0,0,0
1768683072.687,3051,85.4,95.1,28.5,12.6,73.0,12.6,61.6,33,31,0,0,0,11,235,0,33,31,2,218,0,177,179,0,158,0,0,0,0,157,0,0,101,125,0,0,0,0,0,0,0,0
1768683072.787,3055,85.3,94.9,28.6,13.0,73.1,12.6,61.7,34,32,0,0,0,11,239,0,34,32,2,219,0,177,179,0,157,0,0,0,0,157,0,0,102,125,0,0,0,0,0,0,0,0
1768683072.887,3063,85.2,94.8,28.7,13.3,73.3,12.6,61.8,35,33,0,0,0,11,247,0,35,33,2,220,0,177,179,0,156,0,0,0,0,157,0,0,102,125,0,0,0,0,0,0,0,0
1768683072.987,3073,85.2,94.7,28.9,13.6,73.5,12.6,61.9,36,34,0,0,0,12,1,0,36,34,2,222,0,177,179,0,155,0,0,0,0,157,0,0,102,125,0,0,0,0,0,0,0,0
1768683073.087,3085,85.1,94.6,29.0,13.8,73.7,12.6,62.0,37,35,0,0,0,12,13,0,37,35,2,225,0,177,179,0,155,0,0,0,0,158,0,0,102,125,0,0,0,0,0,0,0,0
